Source,Target,Type,Ports
"20","23",Undirected,"1p6-10,3p17-14"
"10","29",Undirected,"1p6-16"
"44","28",Undirected,"1p17-282"
"23","15",Undirected,"1p6-10"
"29","38",Undirected,"1p17-280,1p6-10"
"39","14",Undirected,"1p17-282,1p6-26,18p6-0,23p6-200"
"31","11",Undirected,"915p6-10785,916p6-10785,1p6-22,912p6-10785,15p6-10785,913p6-10785,910p6-9711,42p6-9739,917p6-10785,911p6-5604,914p6-4856"
"19","23",Undirected,"3p17-28,1p6-20"
"29","36",Undirected,"4p17-4,1p17-282,1p6-10,2p17-444,6p6-3429"
"38","23",Undirected,"3p17-20"
"48","44",Undirected,"1p17-280,1p6-10"
"2","20",Undirected,"1p6-30"
"27","44",Undirected,"1p6-20"
"8","41",Undirected,"1p17-282"
"12","44",Undirected,"1p17-282"
"1","53",Undirected,"1p17-278,1p6-10,2p6-115092"
"47","51",Undirected,"1p17-280"
"4","32",Undirected,"1p6-32"
"15","42",Undirected,"52p6-3499,1p17-284,1p6-20"
"32","2",Undirected,"1p17-282,1p6-10"
"42","49",Undirected,"1p17-284,1p6-42,33p6-41132"
"15","10",Undirected,"1p17-282"
"27","24",Undirected,"1p17-284,1p6-30"
"5","4",Undirected,"1p17-284,1p6-44"
"7","19",Undirected,"1p17-284,1p6-20"
"51","17",Undirected,"2p17-2462,6p6-5169"
"2","6",Undirected,"1p17-284,1p6-10"
"34","9",Undirected,"1p17-282,1p6-20"
"44","14",Undirected,"1p17-284,1p6-10"
"39","30",Undirected,"18p6-0,1p6-38,23p6-200"
"20","24",Undirected,"1p6-20"
"11","8",Undirected,"908p6-240,1p17-282,1p6-26"
"54","55",Undirected,"3p17-8"
"7","4",Undirected,"1p6-26"
"41","24",Undirected,"1p6-10"
"32","6",Undirected,"1p6-20"
"3","20",Undirected,"1p17-282,1p6-10"
"30","23",Undirected,"3p17-22,1p6-10"
"10","6",Undirected,"1p6-16,3p6-1807"
"24","19",Undirected,"1p17-280"
"15","33",Undirected,"28p6-6286,1p6-20"
"46","8",Undirected,"1p6-10"
"20","11",Undirected,"1p6-10"
"30","24",Undirected,"1p6-10"
"22","36",Undirected,"4p17-6,1p17-280,1p6-20,2p17-784,6p6-2715"
"1","12",Undirected,"1p6-16,2p6-73470"
"35","47",Undirected,"1p6-10"
"53","26",Undirected,"1p6-48"
"7","15",Undirected,"1p6-10"
"44","10",Undirected,"1p17-282,1p6-16"
"13","14",Undirected,"1p6-32"
"27","1",Undirected,"1p17-282,1p6-32"
