Id,Label,Degree
"1","1",90
"10","10",92
"100","100",1
"101","101",2
"102","102",13
"103","103",3
"104","104",2
"105","105",1
"106","106",1
"107","107",1
"108","108",3
"109","109",2
"11","11",89
"110","110",3
"111","111",1
"112","112",1
"113","113",1
"114","114",1
"115","115",5
"116","116",1
"117","117",2
"118","118",1
"119","119",2
"12","12",90
"120","120",1
"121","121",2
"122","122",2
"123","123",1
"124","124",2
"125","125",1
"126","126",1
"127","127",1
"129","129",2
"13","13",90
"130","130",1
"131","131",1
"132","132",1
"133","133",3
"134","134",1
"136","136",2
"137","137",1
"138","138",1
"139","139",1
"14","14",92
"140","140",1
"141","141",2
"142","142",1
"143","143",3
"144","144",1
"145","145",2
"146","146",1
"147","147",1
"148","148",1
"149","149",1
"15","15",101
"150","150",1
"151","151",1
"152","152",1
"153","153",1
"154","154",1
"155","155",1
"156","156",1
"157","157",1
"158","158",1
"159","159",1
"16","16",96
"160","160",1
"161","161",1
"162","162",1
"163","163",1
"164","164",1
"167","167",1
"168","168",1
"169","169",1
"17","17",100
"170","170",1
"171","171",1
"172","172",1
"173","173",1
"175","175",1
"177","177",1
"18","18",91
"186","186",1
"187","187",1
"19","19",91
"190","190",1
"195","195",1
"2","2",91
"20","20",92
"21","21",93
"22","22",93
"23","23",99
"24","24",90
"25","25",51
"26","26",91
"265","265",1
"266","266",1
"267","267",1
"269","269",1
"27","27",95
"270","270",1
"28","28",93
"29","29",92
"3","3",89
"30","30",91
"31","31",97
"32","32",93
"33","33",98
"34","34",86
"35","35",93
"36","36",105
"37","37",89
"38","38",93
"39","39",105
"4","4",96
"40","40",102
"41","41",92
"42","42",96
"43","43",93
"44","44",90
"45","45",92
"46","46",92
"47","47",95
"48","48",98
"49","49",92
"5","5",95
"50","50",88
"51","51",95
"53","53",95
"54","54",16
"55","55",2
"56","56",2
"57","57",93
"58","58",1
"59","59",55
"6","6",91
"60","60",1
"61","61",2
"62","62",1
"63","63",1
"64","64",14
"66","66",2
"67","67",13
"68","68",3
"69","69",1
"7","7",98
"70","70",2
"71","71",2
"72","72",1
"73","73",1
"74","74",3
"75","75",3
"76","76",1
"77","77",2
"78","78",1
"79","79",2
"8","8",91
"80","80",4
"81","81",1
"82","82",4
"83","83",1
"84","84",1
"85","85",5
"86","86",2
"87","87",1
"88","88",1
"89","89",5
"9","9",92
"90","90",2
"91","91",2
"92","92",1
"93","93",1
"94","94",1
"95","95",2
"98","98",1
"99","99",3
